text,emotion
i almost hate to say it that way i don t want to oversell it but it hit me in just the right way this afternoon the editing of the clips and the music combinging with my own feelings for the characters to make this gorgeous to me,hate
i hate examinations because i feel that exams encourages segregation between the smart students and the less academically inclined students,hate
i feel i look dull stressed and happy but not glowing,happiness
i and develops a relationship with the lord he feels attachment to him and considers him to be his dearly beloved,love
i feel so empty and distraught,empty
im feeling energetic i like to make it fun talking in goofy accents making it all a game,fun
i look back on how bad last year was i feel excited about the potential this year,enthusiasm
i am today hopeful gaining in love for life more and more everyday and finally learning to let go of myself and feeling more and more like myself like that joyful child who loved to wash dishes,love
i kind of felt that he was not going to do anything until it was too late i knew hat i would really hate feeling regretful over it,hate
i am very excited to get back to making time for the things i feel passionate about,enthusiasm
"Yeah, physically moving too! Apparently we'll be reporting directly to Mr. Hayward...",relief
i feel scared to know whats going to happen whether im pleased or not,relief
i got the feeling that joelle anthony was just trying to show how dangerous the world was supposed to be without having anything really really bad happen to molly,neutral
i always love to make new friends so never feel shy around me,love
i would like to know if the reader of this post feels completely assured that intuition is a good source of justification and knowledge you can feel comfortable to indicate papers dealing with this question,relief
i hate commitment but i want a cute boy that maybe i could fall for and would make me feel as if i want to stay devoted for once,hate
im enjoy worship moments more compared to preaching moment in church cause sometimes i feel the preaching can get abit boring omg no offense,happiness
i was sharing with my husband how amazing i am still feeling that when i hugged him he was a little excited himself and sqeezed too hard,enthusiasm
i feel impatient or angry i pause and ask him to help,anger
i gras activities i look at my facebook friends pictures and how much fun theyre having and feel slightly jealous of their fun but mostly relieved im not spending the money or navigating the crowds,fun
Some idiot just crashed into me on his bike. Now my bike has a small dent in it and I have to buy a new set of pedals,hate
"and what did you do last night, I don't recall being invited",empty
i intellectualize the ways of being i soaked up from my dysfunctional family life that taint the present the more disconnected i feel from that precious lively spirit that is my inner child,fun
im feeling lethargic bored depressed defeated,sadness
i am feeling outraged out,anger
i was excited about this process before but knowing you can participate in the new look and feel of sme and i m ecstatic,enthusiasm
Stupid law suds till the 22nd...blameitontheblonde crushed,surprise
i was awake and a half hours later and am feeling somewhat jaded but pleased to be in my own bed,relief
i state it so soundly i have a feeling im going to get people dropping a lot of fucking spoilers just to be jerks funny,fun
i feel like im just going be stressed throughout the whole summer whether it is about school exchange driving shizzle or whatever,hate
Happy Star Wars Day. May the 4th be with you! Nice that we get a holiday to celebrate fb,fun
i have avoided going into livs room unless i have to because the sight of her suitcases make me feel all weepy,empty
i feel a lot more comfortable incorporating research into my papers,relief
i read an article that caused me to feel as outraged as i do right now,anger
i don t even feel discouraged like i was feeling last week,anger
i put a layer of comforter under the bedsheet but the mattress is not fully horizontal with a fold in the middle and sinks in the centre where i am and i can kinda feel the springs supporting my backside,relief
i feel completely lame and funny to admit this but my two youngest have barely ever even seen the snow,fun
Nightmare about war. Freaked the fuck right out of me. loathing ffs sake fuck sake,sadness
i feel playful in them i love how you want to pamper me for wearing them i feel so dancey in them and i want to hop around with you and then collapse in a cuddling kissing heap and make us squeal,love
i feel there was a long pause before sirius said and by fond you mean,neutral
im not worried about her academically but shes always been a little delayed maturity wise or in relating to other people and id hate to see her struggling to make friends and feeling accepted,hate
THE glum look on the face of England Manager Graham Taylor says it all but he has no intention of quitting .,sadness
i wrote but just a chronology of the wars in this beautiful land of milk and honey of the wondrous piquant mimosa and the camel thorn and of birds and animals and mountains and valleys i was left feeling deeply saddened and unhappy that man has to suffer this,sadness
im also actually working on developing a way to make market and sell infant car seat covers and feel kind of excited about it,enthusiasm
i will feel more joyful,fun
i was feeling pleased as punch about our progress,relief
Hoe kan je gemakkelijk een gitaar namaken van karton?,surprise
i was feeling kind of pissed off that my friend told me to see what i hoped to avoid,empty
i feel empty at work,empty
"Startled , and by now more than a little frightened , Patrick headed for Foyles , hoping to lose his followers in the bookshop 's maze of nooks and corners .",sadness
i feel like you are over eager,enthusiasm
i just thought it was okay so didnt feel too pleased with seeing another one but this one is a lot better and i think its quite nice,relief
i am feeling so overwhelmed with being deeply emerged in the social justice world hours a week and then trying to switch back and function in normal life after,fun
i feel completely devastated and sad,sadness
i have also discovered decaf coffee with sugar free flavored coffee mate makes me happy and i feel like ive had something sweet,happiness
i knew someday there would be an insensitive comment and i want to avoid all negative energy when im feeling so low,empty
i am feeling very excited about the coming months,enthusiasm
im feeling excited but anxious,enthusiasm
i feel like i don t have to be nervous anymore going into an interview,neutral
viendo Wolverine,neutral
im pleased i got to see you i feel awful my relationship was a bit of local gossip a bit of fun,fun
this is sounding like the worst lurgy ever - the one that just won't go away .. you ready for end-of-rope action yet??,sadness
i am feeling mellow excited about it partly because i know annie will churn all kinds of emotions inside of me esp,enthusiasm
man i cant go on sunday cause im helping out all day at the piano recital. this sucks,surprise
i hate this feeling the feeling that makes me feel so lonely and just broken,hate
i want to avoid feeling abused,empty
i still feel the urges to snack and the longing for comfort food,relief
i hard may feel hated by her her just whats best for her health,hate
"Power Outage, door to freezer propped open, 3G ice cream make for slippy floor M-er F-er!!",hate
i am not sure what it is all about as i am personally feeling very peaceful and deeply joyful,fun
i feel obama is simply because hillary is so hated by so many,hate
i do try to include some fun planned learning activities since we are cooped up together anyways and it makes the time together feel special and exciting,fun
Wow! I am impressed Pastor Lucas! Great work!!!,surprise
i feel that i want you eager a permanent delivery,enthusiasm
i need to let myself feel this and cry and hurt and be angry,anger
i feel like our mother earth welcomed us with loving arms when we came into existence because it indeed loves us,love
i was present in march when my teammate was talking about wanting to prove to her ex that she was independent enough now i hadnt known for sure that the ex that she was referring to was my most recent ooma although i knew they had dated and thus was one of her exes which made me feel sad for her,sadness
i have gone from feeling relatively comfortable a kind of,relief
i found myself feeling surprised by my own surprise,surprise
i know that you are on a restricted diet and this is a food you can have i am making it and you are eating it when told that i was not able to eat anything that day when i attended that gathering even though i was feeling rotten to avoid hurt feelings,empty
i love feeling cute and living it all day,love
i was feeling very pleased with myself for my artistic framing,relief
i want people to see that living this way is easy fun and acheivable gosh this sounds a bit strange but i feel very strongly that everyone should have the opportunity to re live this glamourous bygone era,fun
i have found that the moments where i feel aggravated and angry are exactly the moments where my yoga practice kicks in,anger
im in the role of chaplain i may feel pleased with myself for a little while afterwards but it doesnt satisfy in the way that a real conversation does where theres no hidden agenda to help,relief
i hope i will always remember nights like tonight nights when i laugh until i start wheezing moments when i feel joyful and present with the people im with whoever they may be because i think these moments point to god and to his kingdom here,fun
i make a lot of different choices than other people and it makes it hard sometimes to feel accepted,neutral
i feel that she is being sexually assaulted against her will,neutral
"Lin Foh seemed incensed , but kept his voice down as they reached the outside steps of the Coroner 's Court .",anger
i think it tries to avoid this the movie depicts philosophy as consisting in feeling agonized over something in your personal life lying around producing a deep thought and then browbeating the public with your thought,empty
i wrote it when my head was feeling restless so please be kind,relief
im not sure how i feel but empty,empty
so much to do by 1 pm. i don't think i'm going to get it all done,sadness
i am feeling pretty discouraged about things at the moment,anger
i want to avoid feeling timid,empty
i told him i was feeling pretty angry,anger
im not angry anymore instead i feel so carefree this youre out of my sight,anger
i feel in love with the gorgeous lace dress and knee length spotty frock,love
i quit sugar plan and i have to say im feeling fine,neutral
Red album cold hands and waiting for the bus,happiness
i would more likely but not necessarily so feel more pain and love than someone who was not a romantic,love
i get to play music i feel joyful and that is what counts,fun
i feel surprised together we rushed out of a guardrail the car crash down when i see the blood is all over fuzzy own flesh and blood,surprise
i feel very passionate and enthusiastic towards the demon the angel the disease and really fuckin love the record so i have no such worries,enthusiasm
i did not even think to put shoes on i walked on the snow and could feel warmth from the divine love emanating from his spirit,love
my sympathies - been here 20 minutes and had enough - will escape soon,relief
i still feel it and what i mostly feel still is angry at the unfairness of it all,anger
i feel really works is how the supporting actors even the women aren t famous or stunningly handsome or beautiful it roots the movie a bit more and makes it seem much more like something that could be happening on your campus which to me makes the movie more fun to watch,fun
i can t help but feel distressed and deeply saddened for all the people who are currently living in such pain and also open my mind to realise how fortunate we are,sadness
i mean fuck i feel like i was way more considerate with customers and concerned about appearance and sanitiation snoozel pm but fine,sadness
i feel so angry but i still love him and he loves me,love
i feel this is one of those habits that might seem strange to people like my hour a day time limit,neutral
i was fine with a nice stroll without having to say anything but i could feel that i was physically uncomfortable,relief
i might feel afraid but am determined to have that fear serve as a counterpoint to my tendency to procrastinate if i have to apologize tell someone i love you try to make a difference i need to do it without delay,love
i take these burdens on most of the time so when i feel relief from them its a weird and uplifting feeling,relief
i feel your presence beloved,love
i head back to all familiar places a backpacker asks me directions i feel surprised to hear my voice its been a whole day of internal monologue,surprise
i am sorry you feel so unhappy and isolated,happiness
i was chemically up and down and feeling my emotions far too strongly i would burn bridges to avoid from being abused or taken for granted by people who i cared for,empty
i am lost i feel hesitant to go to az to paul but also feel excited,enthusiasm
i can communicate well with other people and i feel like i know how to enjoy them and i cannot experience that with you without being insulted,happiness
i know i should be joyful and congratulatory so i feel disgusted with myself,fun
i would just love to keep them for myself somehow i have a funny feeling that one of the lovely ladies in our groups is going to end up with these i was honored to open my home amp host the in rl conference in april so i dont need to keep it,love
i still feel thrilled scared stumped and excited at the same time,enthusiasm
i would have liked to go out to chat with some acquaintances,neutral
vu qu'on y retourne plus par la suite.,sadness
i was so annoyed with myself for letting these crazy fans and crazy haters make me feel dumb for liking this series,hate
"Me Too! Its hard to argue w/ him 'cause he makes some great points, i just can't wrap my heart around that one",happiness
i forgot what it was like to relieve myself of what i feel i remember how i hated the pain that would bring me to tears,hate
im feeling a little lost too,neutral
i know i m not alone in feeling deeply and horribly wronged outraged hurt scared and utterly defenseless,anger
i suspect that reading the books in sequence might make the wider series arc of the story more understandable but book is perfectly readable in its own right and i didn t feel disadvantaged by not knowing what had gone before,sadness
ughhhh.... sad day.,sadness
im sitting on the corner feeling glad,neutral
i would feel so i can imagine that the thought of any kind of recantation is hateful to him,hate
i feel like i am a flawless person and at another time i feel like everybody hates me,hate
i tell you what now that i ve just decided to do this i m feeling quite relieved and wondering why it took me so long to figure it out but whatever,hate
i sometimes do feel surprised when i come across something i wrote at the age of when i was so unsure of myself and of my writing and wonder why i felt that way because i had a way with words then,surprise
i may feel mellow like i want to go back to bed but really i was excited to race,enthusiasm
Yep. Nothing to worry about.,relief
i feel as if my life is empty and alone,empty
"I'm actually surprised by the treatment here, they're actually helping me! 3alekWa7ed",surprise
i feel delicate at times,neutral
i am lonely and empty and i get this feeling every time your around and i am hurt that you dont want too ugh please,empty
i feel absolutely lovely,love
Why does ppl say they're when they know they aint.r u trying to trick ur mind. is the biggest thing right now. Check it..,sadness
i would be able to read the signs but each time it happens i feel shocked and overwhelmed,surprise
i didnt feel like i had a supporting community of friends here my faith was always being tested in this environment i was angry and frustrated with the people and i just felt lonely almost all the time,anger
i am feeling hopeless and uncontrollably emotional,neutral
i seldom complain and always feel contented about what i have,happiness
i am so sorry youre feeling it because i hated it,hate
"When we still attended school, my brother and I usually went to see our aunt and to show her our term's report. She rewarded us with money. Although my reports were as good as my brother's, he got more money.",anger
just watching hollyoaks omg,surprise
i lama openly admits to feeling angry at times,anger
i kick my foot gets the same feeling you get when you hit your funny bone,fun
i was feeling rather discouraged and well lazy and really unmotivated for school,anger
i start to feel uncomfortable with my body e,relief
i feel for the essence of our relationship it feels joyful and easy,fun
i found the light switch by feeling up the wall i wasnt surprised to find myself facing this a href http blogs,surprise
Can't wait 2 hand in work tomorrow then im practically finished for the year yay!!!!!!!,happiness
i am discouraged and succumb to self pity but mostly i feel honored and incredibly grateful for our journey,anger
i always feel that while one year is being bundled up to put in storage and the next year is being shaken open like a new set of bed linen one ought to mark both events with a comment or two how did i do this past year,anger
i feel uncomfortable with meeting cs friends,relief
i am yet to experience that it gets hard to narrow down where to go and for the artists once its empty they feel disheartened,empty
i hate that i feel so badly that i just want to hurt,hate
i love how you said you feel pissed off with guys who treat me the wrong way,love
i feel just a little too lethargic and unmotivated but it makes me feel like im just a lump these days,neutral
i love being around them and i never feel dull but everything in general is just sucking,love
ive been feeling so burdened and drained,neutral
i need things to do to keep my mind from going completely bonkers and i just cant enjoy a night with my book if it doesnt feel like i did anything productive that day,happiness
Thanks for reminding me . She's the right person to help me .,happiness
im excited but also feeling very vulnerable as im totally going outside of my comfort zone,enthusiasm
i think about the scenes coming up i get this tingly excited feeling in the pit of my stomach almost like butterflies except that these butterflies are sweet and pleasant unlike the ones you get when you have a crush,enthusiasm
i love feeling successful,love
En fait finalement je part plus seule en Australie : un pote du Roller m'accompagne !,surprise
im feeling a joyful energy throughout my body kind of how you feel when you first fall in love,love
i greatly enjoyed this piece and i feel it took a very delicate eye to realize to beauty and intelligence in the rhythm of the dance,happiness
i feel so joyful about my relationship i just cant contain it,fun
Winter weather advisory! sarcasm,happiness
im feeling generous there is one other superhero movie to be released in thor the dark world comes out in november,relief
i was reaching out to encourage other mothers and to feel less alone,anger
i sometimes feel weird posting about sales and things because i am not trying to encourage hoarding or rabid consumerism or anything like that,anger
ill be mean and then ill feel awful because i hate being mean,hate
i feel eager to see the show sometimes i just cringe at the thought of watching it again,enthusiasm
i could link to please feel free hellip welcoming youth to faith filled futures cont d october since i linked to marian s san damiano program yesterday i figured i should show a clip from the icl s very own nd vision today,relief
"During a football match, the other team was rude and they hurt my team members and me. The coach was prejudiced against us and punished us unreasonably. Later we fought with each other and the match had to be cut short.",anger
i got to wondering if i truly was feeling reginas joy or had chris climbed inside me to make me joyful,fun
i would actually like to do some walking that feels productive and allows david and i to have conversations together so last night we loaded up in the car and drove to another park where we could actually walk and avoid the playground,empty
i was still married my first husband considered my husband now his best friend but the feelings were not mutual because he hated his abusive immature and bragging nature,hate
i should be excited but i just feel like a whiney kvetch,enthusiasm
i feel angry and i may end up being rather feisty,anger
im feeling pretty lovely myself too,love
i feel empty if im not doing something to improve myself help people or making something beautiful,empty
i got the feeling that the staff was being overly friendly to compensate for the dearth of entertainment options in the waiting room maybe its just a florida thing but everyone at this particular endoscopy clinic was outrageously perky,anger
i feel awkward and sad inside,sadness
i was feeling particularly discouraged by the lack of orders and our lack of funds i walked into the living room to hear him singing it to adam,fun
I really wanted that job,sadness
i feel surprised and excited because i haven t meet it before,enthusiasm
i will be too busy or feel discouraged or regret my previous entries or simply dont feel like sharing my life and thoughts at all,anger
i feel valued as a district employee,neutral
im feeling so excited for you card side by side,enthusiasm
i just feel happy i was able to make her feel better that night,happiness
I just see a tweet from Miss Bonnie??? phone died oster has alltel I miss you,surprise
One more tweet! Sleeping With Sirens was trending on Twitter! So nuts ! You bet your ass I'll be seeing them on Warped.,surprise
i feel afraid,neutral
im not sure how i feel theres just that empty space you left here for me,empty
i continue to strive for and am trying to feel content with,happiness
i remember feeling very surprised and even shocked that i was actually getting to like him as a person despite knowing that he was the prime suspect in a long list of wickedness,surprise
i feel like benjy too dumb to realize what i ve got until i can just feel a cold empty space where it used to be,empty
i hate feeling heartbroken and id rather eat dirt than ever disappoint my family,hate
i really didn t even feel surprised just affirmed,surprise
i am feeling funny today,fun
i hate when they end i find it so disappointing whats the point if it only makes you feel empty,empty
Oh my god stop talking I'm already late here comes the panic attack.,anger
i realize we all feel this differently because of our own upbringings and perspectives but it surprised me many times to be reminded that others do not see every change as a god given god driven thing,surprise
i dont know what is happening just by all of sudden he just stop messaging me much not talking much as we used to before amp when i said i misses him hes trying to avoid saying it to me even i sent back the photos we took together that night in his room he had no feelings to it amp ignored it,empty
i may have mentioned lives in japan jan has now left for singapore and then europe and then africa but that comes later bobby has gone to europe as well he s in paris at the moment and i m trying very hard not to feel jealous and soon cindy will leave for cambodia,neutral
i know he must feel confused and wonder why i hate him so much what hes doing wrong again,hate
i actually wanted to feel their eager hands all over me,enthusiasm
i take my husband for granted but i always want him to feel respected and loved,love
i feel amazing and ready for an over abundance of fun,fun
i feel i cant talk move sometimes even breath with the fear of some kind of rude hateful comment,hate
You are such an expert on it . I don't know that .,happiness
i think the point of this post was something along the lines of i feel everything because im very emotional and now im feeling really low and stressed which sucks because its summer and summer is supposed to be fun and its not been so far,fun
i feel as though i am pulling myself back and i would be more than happy to have a maintain,happiness
i feel lonely it is just a time to press in to his presence and lean on him to be my friend my comforter my encourager,relief
i hat being unorganized i hate that feeling of messy life,hate
i get about to things of my own done a day even it isnt with my artwork i feel ive been productive with that time,neutral
im feeling so angry because that was just wasted work from her side,anger
Did yall know a kid drowned after trying to swim to the bottom of the ocean in order to find sponge bobs pineapple house? rofl sowy,surprise
So tired Last group of the day is performing now.. It's been an interesting one.,sadness
i really hate that feeling when you wake up from a really disturbed sleep and feel all befuddled,hate
you are put on the spot and have to give a speech at your grandmas 80th birthday party,surprise
i feel nothing but happiness all eager expectation and excitment,enthusiasm
i feel disappointed after seeing these beautiful creatures flying overhead every day for the past few weeks seeing them caged deeply saddens me,sadness
i feel like waking up and i m surprised to be on the bus,surprise
i feel it satisfies my hunger increases my energy and certainly satisfies my sweet tooth,relief
i feel as if you re angry at me,anger
im feeling rather abused and angry,anger
School and work today,happiness
i know no church is perfect and i have no intentions of leaving and i am excited about getting to know some specific people but i sure do feel pressured into serving and so does my husband,enthusiasm
i feel my affections for the lord not shaken but stirred,love
i heard her sigh on the other side i imagined what she must be feeling she must be angry she can no longer feel sadness shes angry at the world that forgot the people like us the people like me theres nothing wrong with you do you hear me,sadness
i would marry darth vader if i could so it s no real surprise i m feeling all passionate about this,surprise
i have a long way to go but whenever i think about the story or about the process of writing it i feel very excited,enthusiasm
i really feel as though ive gotten a sincere insight on how the three of us will interact with our pnms and one another,neutral
Pulled a muscle in my chest wall. In a lot of pain now.,happiness
i am in a place of feeling like if i am too happy i am not remembering grayson and if i am too sad then i am not being happy about this baby,sadness
i feel is actually because of the joy i feel in being in a loving and wonderful relationship with myself,happiness
i know how you all feel my mil has hated me since day,hate
ive been feeling especially hateful today,hate
i feel contented enough knowing that someone out there is interested about my life or my opinion on how i feel about certain issues,happiness
i hate how i feel like this is my fault that i took the most amazing thing that ever happened in my life and turned it sour,hate
i definitely count myself in this timid approach as someone who likes to stay in her comfort zone but i feel thats something im determined to change this year,relief
i was zipping along feeling all kinds of pleased with myself ooh that lamp is awesome,relief
i still feel tremendously joyful when i remember that linda swanson davies and susan burmeister brown said yes when i least expected and most needed it,fun
i don t know how i feel i guess it s one of those moments where you want to feel like you re accepted even though whatever you did or did not get mattered to you the most,hate
i am feeling a little unloved by my husband,love
i explained that i was not trying to obscure the truth i ve never experienced symptoms and i simply have these tests done once a year to assure myself that i am in fact as healthy as i feel she said she was genuinely surprised,surprise
i feel so angry at myself sometimes when i have the ihatemymom feels,hate
i have a feeling of testing choclate i eager to know what is waiting for me even i wont know it unless i truly make it true,enthusiasm
i feel discouraged about my recent car accident and my cute car being totaled grandma being in and out of the hospital and rehabilitation,anger
i felt awkward and uncomfortable i hated myself for feeling that way and i hated them for making me feel that way,hate
i understand some people are more comfortable sharing in that way because they don t feel pressured to make eye contact sometimes i found myself later in the week wondering which story went with what person,relief
i knew it would be cedric and faina and i had a feeling jimmy and shauna would be there but i guessed it would be lauren and neil or hok and jaime or even jesus and sara although the last two couples i would have hated to see in danger,hate
i feel like a dog eager to please,enthusiasm
i distinctly feeling shocked deeply wounded misunderstood and hurt,surprise
